# packages in environment at C:\Users\Foad\.conda\envs\tf-gpu-py364:
#
# Name                    Version                   Build  Channel
_tflow_select             2.1.0                       gpu
absl-py                   0.8.0                    py36_0
alabaster                 0.7.12                   py36_0
asn1crypto                1.0.1                    py36_0
astor                     0.8.0                    py36_0
astroid                   2.3.1                    py36_0
attrs                     19.2.0                     py_0
babel                     2.7.0                      py_0
backcall                  0.1.0                    py36_0
blas                      1.0                         mkl
bleach                    3.1.0                    py36_0
ca-certificates           2020.1.1                      0
certifi                   2019.11.28               py36_1
cffi                      1.12.3           py36h7a1dbc1_0
chardet                   3.0.4                 py36_1003
cloudpickle               1.2.2                      py_0
colorama                  0.4.1                    py36_0
cryptography              2.7              py36h7a1dbc1_0
cudatoolkit               10.0.130                      0
cudnn                     7.6.0                cuda10.0_0
cycler                    0.10.0           py36h009560c_0
decorator                 4.4.0                    py36_1
defusedxml                0.6.0                      py_0
docutils                  0.15.2                   py36_0
entrypoints               0.3                      py36_0
freetype                  2.9.1                ha9979f8_1
gast                      0.3.2                      py_0
grpcio                    1.16.1           py36h351948d_1
h5py                      2.9.0            py36h5e291fa_0
hdf5                      1.10.4               h7ebc959_0
hdf5storage               0.1.15                   pypi_0    pypi
icc_rt                    2019.0.0             h0cc432a_1
icu                       58.2                 ha66f8fd_1
idna                      2.8                      py36_0
imagesize                 1.1.0                    py36_0
intel-openmp              2019.4                      245
ipykernel                 5.1.2            py36h39e3cac_0
ipython                   7.8.0            py36h39e3cac_0
ipython_genutils          0.2.0            py36h3c5d0ee_0
isort                     4.3.21                   py36_0
jedi                      0.15.1                   py36_0
jinja2                    2.10.3                     py_0
jpeg                      9b                   hb83a4c4_2
jsonschema                3.0.2                    py36_0
jupyter_client            5.3.3                    py36_1
jupyter_core              4.5.0                      py_0
keras                     2.2.4                         0
keras-applications        1.0.8                      py_0
keras-base                2.2.4                    py36_0
keras-preprocessing       1.1.0                      py_1
keyring                   18.0.0                   py36_0
kiwisolver                1.1.0            py36ha925a31_0
lazy-object-proxy         1.4.2            py36he774522_0
libpng                    1.6.37               h2a8f88b_0
libprotobuf               3.9.2                h7bd577a_0
libsodium                 1.0.16               h9d3ae62_0
m2w64-gcc-libgfortran     5.3.0                         6
m2w64-gcc-libs            5.3.0                         7
m2w64-gcc-libs-core       5.3.0                         7
m2w64-gmp                 6.1.0                         2
m2w64-libwinpthread-git   5.0.0.4634.697f757               2
markdown                  3.1.1                    py36_0
markupsafe                1.1.1            py36he774522_0
matplotlib                3.1.1            py36hc8f65d3_0
mccabe                    0.6.1                    py36_1
mistune                   0.8.4            py36he774522_0
mkl                       2019.4                      245
mkl-service               2.3.0            py36hb782905_0
mkl_fft                   1.0.14           py36h14836fe_0
mkl_random                1.1.0            py36h675688f_0
mock                      3.0.5                    py36_0
msys2-conda-epoch         20160418                      1
nbconvert                 5.6.0                    py36_1
nbformat                  4.4.0            py36h3a5bc1b_0
notebook                  6.0.1                    py36_0
numpy                     1.16.5           py36h19fb1c0_0
numpy-base                1.16.5           py36hc3f5095_0
numpydoc                  0.9.1                      py_0
openssl                   1.1.1e               he774522_0
packaging                 19.2                       py_0
pandoc                    2.2.3.2                       0
pandocfilters             1.4.2                    py36_1
parso                     0.5.1                      py_0
pickleshare               0.7.5                    py36_0
pip                       19.2.3                   py36_0
prometheus_client         0.7.1                      py_0
prompt_toolkit            2.0.10                     py_0
protobuf                  3.9.2            py36h33f27b4_0
psutil                    5.6.3            py36he774522_0
pycodestyle               2.5.0                    py36_0
pycparser                 2.19                     py36_0
pyflakes                  2.1.1                    py36_0
pygments                  2.4.2                      py_0
pylint                    2.4.2                    py36_0
pyopenssl                 19.0.0                   py36_0
pyparsing                 2.4.2                      py_0
pyqt                      5.9.2            py36h6538335_2
pyreadline                2.1                      py36_1
pyrsistent                0.15.4           py36he774522_0
pysocks                   1.7.1                    py36_0
python                    3.6.4                h0c2934d_3
python-dateutil           2.8.0                    py36_0
pytz                      2019.3                     py_0
pywin32                   223              py36hfa6e2cd_1
pywinpty                  0.5.7                    py36_0
pyyaml                    5.1.2            py36he774522_0
pyzmq                     18.1.0           py36ha925a31_0
qt                        5.9.7            vc14h73c81de_0
qtawesome                 0.6.0                      py_0
qtconsole                 4.5.5                      py_0
